trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'e': 0.05077448493357918, 'a': 0.01}",20,6,10.094813503001147,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'e': 0.040785011241591035, 'a': 0.01}",20,11,12.615827742445479,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'e': 0.030791459082466124, 'a': 0.01}",20,16,8.163588342118075,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'e': 0.02079482780309243, 'a': 0.01}",30,9,40.92854684321755,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'e': 0.010796117058267392, 'a': 0.01}",20,15,9.472032610646231,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'e': 0.0007963267107332633, 'a': 0.01}",20,10,12.858157602799093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",20,8,22.831827386475933,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",20,3,29.00041280128597,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",30,17,25.667984173674544,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",25,7,25.65226729042917,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",25,13,20.61511857708818,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",30,13,30.289108132979194,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",30,19,15.984465930048323,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",30,15,25.55638188461845,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,12,16.06910631293747,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",25,11,27.68495914475709,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'e': 0, 'a': 0}",25,13,12.88568565796144,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,True,"{'e': 0, 'a': 0}",20,12,15.968476277410359,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'e': 0, 'a': 0}",30,16,25.250264998231962,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'e': 0, 'a': 0}",25,18,15.900262240257074,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'e': 0, 'a': 0}",20,16,7.773292456824265,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'e': 0, 'a': 0}",30,21,18.703458121048058,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'e': 0, 'a': 0}",20,15,11.29027607648722,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'e': 0, 'a': 0}",25,8,34.810217161481795,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'e': 0, 'a': 0}",25,9,28.179214222355892,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'e': 0, 'a': 0}",25,14,17.397939095990765,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'e': 0, 'a': 0}",25,10,30.537163746221175,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'e': 0, 'a': 0}",25,18,14.188756913037864,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'e': 0, 'a': 0}",20,16,6.821806864142128,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'e': 0, 'a': 0}",20,12,18.98768823311598,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'e': 0, 'a': 0}",30,14,34.04381736554005,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'e': 0, 'a': 0}",25,15,17.429839434909066,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'e': 0, 'a': 0}",20,0,32.17172553989504,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,True,"{'e': 0, 'a': 0}",20,14,12.635037843559413,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'e': 0, 'a': 0}",30,3,48.24117785498012,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
